year,tsub,sigma2
400.0,2.8106257049878143,3.0844495457828645
401.0,2.808535529392124,3.081712005216372
402.0,2.805186827497945,3.0783171334885453
403.0,2.8019041851982482,3.0741935143042185
404.0,2.7982189971348603,3.070384150300544
405.0,2.794356387612778,3.0667170041398313
406.0,2.78932994973976,3.062653330732602
407.0,2.7833436704448147,3.0585533073656
408.0,2.7777016055537436,3.0546897912218642
409.0,2.7719484706447153,3.0506971871269197
410.0,2.7660637638178187,3.046932504130863
411.0,2.7601162945952864,3.0438203125941072
412.0,2.7541700779395306,3.040964988151124
413.0,2.7482251607476487,3.038307188757659
414.0,2.7427860714934784,3.0360158558974866
415.0,2.7374739516529445,3.0337924808553773
416.0,2.7330103078924326,3.031071680649848
417.0,2.728505111548113,3.028380038577124
418.0,2.7240178401854878,3.0257824483394176
419.0,2.7196465384955495,3.0234104497176797
420.0,2.715252965096555,3.0211348254402193
421.0,2.7109395013578403,3.0191068979293254
422.0,2.7067541351042923,3.017296271601462
423.0,2.702708686858763,3.0155800863737876
424.0,2.6987140468778463,3.0138759353387634
425.0,2.694656612160891,3.012245783746389
426.0,2.69081952466335,3.0107809884604286
427.0,2.687255679763146,3.0094797210824087
428.0,2.684003117642668,3.0083461591998364
429.0,2.681028216231574,3.007314499402408
430.0,2.6781679420948192,3.00633234953596
431.0,2.675304927079861,3.0054712548165994
432.0,2.6726130515954836,3.0048863191891284
433.0,2.670025338695515,3.0045856058893152
434.0,2.6676300150118606,3.0046208048305814
435.0,2.6653616989140163,3.00489904936584
436.0,2.663122167114209,3.005292217986818
437.0,2.6609955011690047,3.0056870740492463
438.0,2.659339323226236,3.0064415660352184
439.0,2.657817581089494,3.0072793651951084
440.0,2.6565952992033397,3.008365340168792
441.0,2.6557276977985165,3.009643982856217
442.0,2.654995287864294,3.010928847657984
443.0,2.654298367832821,3.0122601765456465
444.0,2.6538686586637015,3.0138977348553215
445.0,2.6536346746364545,3.0157902558720027
446.0,2.653764748047073,3.0180496290294303
447.0,2.6541948386552887,3.020314640905526
448.0,2.6549361336982376,3.0225881210060295
449.0,2.6560073289875157,3.024805675168403
450.0,2.657414077548757,3.026899212083806
451.0,2.6591818008561563,3.0289704949957703
452.0,2.6612971973532114,3.0310243483425103
453.0,2.6636939193139773,3.03307820188415
454.0,2.6662336069258243,3.035081861376233
455.0,2.6689724122128933,3.037046765866074
456.0,2.6720207048606586,3.0390758842976626
457.0,2.6752103288960485,3.041161892586392
458.0,2.678465655919891,3.0432291367068016
459.0,2.6817753901616532,3.0452026459726533
460.0,2.6851989113229404,3.0471475596033413
461.0,2.688720251919514,3.0490662234615287
462.0,2.6923522880945905,3.05090341056217
463.0,2.6960727740931163,3.0526229719161746
464.0,2.699937404168953,3.0542947061634322
465.0,2.703766874861321,3.0557801113717162
466.0,2.707741529428902,3.0572974983921983
467.0,2.7119646772615003,3.0589076539498543
468.0,2.7163110965451276,3.060537671463301
469.0,2.720398831640927,3.0618259900885945
470.0,2.7244600983552996,3.062958990559926
471.0,2.72838443676151,3.0636839099670903
472.0,2.7320856484100275,3.064027466871606
473.0,2.7357053312704984,3.064110095040042
474.0,2.739247098083437,3.063905448708555
475.0,2.7425325174209316,3.0632247573511178
476.0,2.74571178449969,3.0621764767190123
477.0,2.748592552317188,3.0606092504230054
478.0,2.75116615731789,3.058746727726805
479.0,2.7535845467020206,3.0567710505564576
480.0,2.7558634266960693,3.0547507294131466
481.0,2.7578687022429738,3.0525386221982402
482.0,2.759716162803708,3.0502641897117653
483.0,2.7613575464683,3.047906526985567
484.0,2.7628831077088494,3.04541477797208
485.0,2.7643511458022765,3.0428549035424304
486.0,2.7658014827115447,3.0403160567333396
487.0,2.7671855781193213,3.0376956094214322
488.0,2.7685579086900844,3.034915368760102
489.0,2.7699742332806783,3.032112807726936
490.0,2.7715188559584,3.029508648288295
491.0,2.773229153763708,3.0271284407013286
492.0,2.7750797077507094,3.024906680996999
493.0,2.777237871606979,3.022972056761861
494.0,2.7795937852723855,3.021178103377085
495.0,2.7820827765728975,3.0194167668496283
496.0,2.7847934405110855,3.0177298064114364
497.0,2.7877080741253346,3.0160770637155103
498.0,2.790708037317434,3.014413538201053
499.0,2.7938096175921294,3.0127961622045367
500.0,2.796955221999493,3.011253968995469
501.0,2.8001070417889835,3.009778283464816
502.0,2.803259980042222,3.0085609080651303
503.0,2.8063405523258673,3.0075321835805795
504.0,2.8093593008173885,3.0066705423500846
505.0,2.8122141441435895,3.005895212201811
506.0,2.814865558500907,3.0052075617092293
507.0,2.8173745043088774,3.0046836133581563
508.0,2.8196235746781886,3.0042301336286763
509.0,2.821677482480812,3.003916784047153
510.0,2.823420985015721,3.0036118310093265
511.0,2.824853780605237,3.003341881888081
512.0,2.825958074490152,3.0031957465361305
513.0,2.8266337647034976,3.003077232105019
514.0,2.8268777679867334,3.0029544430928117
515.0,2.826767967294642,3.0029170866519252
516.0,2.8262638644571227,3.0029778389669106
517.0,2.825389924324263,3.0031377243631336
518.0,2.8242995380981784,3.003542028317249
519.0,2.8229395599390297,3.004092787819702
520.0,2.821324251938651,3.0047978727461104
521.0,2.819406345531246,3.0055770640108355
522.0,2.8172083425959755,3.0064335057861404
523.0,2.814801746888441,3.007402096057715
524.0,2.8120067370988497,3.00836948720845
525.0,2.809020099320075,3.009449124039329
526.0,2.8059157813600475,3.0107048655985698
527.0,2.8027074773129224,3.012072002504197
528.0,2.799294791416341,3.0134109840586882
529.0,2.7956848555284877,3.014625345916553
530.0,2.791979982096618,3.015836216149526
531.0,2.7882636345314706,3.01711285164838
532.0,2.784523756088126,3.018451177611819
533.0,2.7807596286742653,3.019797416674392
534.0,2.7769839646159533,3.021118344021004
535.0,2.773194848666006,3.02235553173898
536.0,2.769395097552632,3.023535822179298
537.0,2.7655674174620266,3.024632445139087
538.0,2.7616337703657945,3.025560401047941
539.0,2.7575682443705127,3.026353124359021
540.0,2.7533820535920586,3.0271012584046124
541.0,2.7490406538718952,3.027818227642051
542.0,2.7444387657967297,3.0283728356687654
543.0,2.739636610305146,3.028730140729849
544.0,2.7346342866955498,3.0289012616197217
545.0,2.72949534723831,3.028945990261015
546.0,2.7240774724639074,3.0288363980299113
547.0,2.718498753150046,3.0286945504479754
548.0,2.712754174056948,3.028566159446683
549.0,2.7067591772391753,3.0283443146282747
550.0,2.700640741258609,3.0281677928229227
551.0,2.694427593087698,3.0280493104031536
552.0,2.6881468864440023,3.0280038350827345
553.0,2.6818765790485415,3.0279641707039446
554.0,2.6756620517764946,3.027958311052569
555.0,2.6695680868583223,3.0279649404988676
556.0,2.66357338593009,3.0280100198379416
557.0,2.657620276200798,3.027968918040948
558.0,2.651762670270629,3.027820426098763
559.0,2.6460778175676927,3.027662094755496
560.0,2.6405139623600506,3.0275475049910834
561.0,2.6350333596763273,3.0274246649662104
562.0,2.6295756916761603,3.0272249994516556
563.0,2.624165011556143,3.0269691196620814
564.0,2.61873874013063,3.026632673253899
565.0,2.613383902035513,3.0263306013557703
566.0,2.608036872696797,3.02611168730117
567.0,2.6027059900059504,3.025927155993345
568.0,2.5973843214800514,3.025767438171921
569.0,2.5920602198881717,3.0256391696460287
570.0,2.586796269063913,3.025595989070661
571.0,2.5815578625804196,3.0254430398408876
572.0,2.576330964296672,3.0251730309735136
573.0,2.5711539530967524,3.024884233245998
574.0,2.5660179717152287,3.024677133623305
575.0,2.5609378242875733,3.024565978454898
576.0,2.555859090890009,3.0244914775212046
577.0,2.5508299544525155,3.0244360563792174
578.0,2.5458622652334273,3.024391107994921
579.0,2.5409751668506213,3.024294517123267
580.0,2.5361324912198313,3.024110859956135
581.0,2.5312864265443187,3.023892747622955
582.0,2.5264162499819376,3.02364230217791
583.0,2.521501084892539,3.02332226092325
584.0,2.5164678066020145,3.0229796398202478
585.0,2.5113025997738267,3.022593417176832
586.0,2.5059973617097353,3.0221475573144145
587.0,2.50054927990818,3.0216211129218267
588.0,2.4949725633052555,3.021053968250052
589.0,2.4892353144128787,3.020511459707564
590.0,2.4833173198508725,3.0199535516344413
591.0,2.4773120306504026,3.019410869177424
592.0,2.471223712883393,3.0188645388957784
593.0,2.465169936285216,3.018342685643652
594.0,2.4592287785171107,3.017847288352129
595.0,2.4534378108307417,3.0173866697742016
596.0,2.4477914947512573,3.01693832396791
597.0,2.442324829887169,3.016503884297202
598.0,2.4370974829496896,3.016159759543915
599.0,2.43207427878633,3.015850742448533
600.0,2.4272632874937523,3.0155861565351225
601.0,2.422673305788522,3.0153518538858806
602.0,2.418284533206932,3.015274911155235
603.0,2.414102273518185,3.0153980118275814
604.0,2.4101054417630783,3.01572491283462
605.0,2.4062584087648036,3.016261120211378
606.0,2.402510457486768,3.016990397082801
607.0,2.398813186712471,3.0179437386452523
608.0,2.3951047749441168,3.019165333679895
609.0,2.391356203628311,3.020657872879464
610.0,2.387529477317096,3.022360849080879
611.0,2.3836423953575436,3.024252379682995
612.0,2.3796767490921367,3.0262937771480196
613.0,2.375648888412883,3.0284336162973875
614.0,2.371573892384212,3.0306531155855945
615.0,2.3674680573964824,3.032924314210641
616.0,2.3633539557169625,3.0352294200407615
617.0,2.3592545467054773,3.0375751085588254
618.0,2.3551960457454033,3.03995028715333
619.0,2.3512219903731486,3.0423356312188226
620.0,2.347378964719265,3.044697407944705
621.0,2.3437130283949617,3.0470128333214728
622.0,2.340263461122577,3.0492616026748514
623.0,2.3370770073402065,3.0514483144464926
624.0,2.3341804846216507,3.053571276357893
625.0,2.3315885365657962,3.055667509186515
626.0,2.3293233721621567,3.057745833280331
627.0,2.327393727689162,3.059801361336389
628.0,2.325785405090852,3.0618403389506685
629.0,2.3244702955489647,3.0638743766946503
630.0,2.323463817987553,3.0659645371202786
631.0,2.3227005891516717,3.0680965127915534
632.0,2.3221074970138194,3.0702772598559416
633.0,2.3216434947358007,3.0725109688428973
634.0,2.321292328091801,3.0748103567800116
635.0,2.3210311116998894,3.0771667527086732
636.0,2.3208324019112614,3.0795636284300096
637.0,2.3206914312096045,3.082012367363949
638.0,2.3205863782437355,3.084484456581534
639.0,2.3205175833656044,3.0869378973976738
640.0,2.320478382598238,3.089338811586046
641.0,2.3204783008133223,3.091697142922871
642.0,2.32049231627491,3.0940186117126314
643.0,2.320534112614485,3.0962949942054316
