site,longitude,latitude,origin,doi_link
CH73_139,-16.35,54.6333,PublicationDOI,no DOI
CH73_139,-16.35,54.6333,PublicationDOI,10.1016/0031-0182(85)90069-0
CH73_139,-16.35,54.6333,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.726215
CH73_139,-16.35,54.6333,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.726101
CHAT_16k,-178.5,-42.39,PublicationDOI,10.1029/2006PA001347
CHAT_16k,-178.5,-42.39,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.833116
CHAT1K,-171.5,-41.58333,PublicationDOI,10.1029/97PA02982
CHAT1K,-171.5,-41.58333,DataLink,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean//sediment_files/complete/chat1k-tab.txt
CHN82_24_4PC,-33,42,PublicationDOI,10.1016/0012-821x(85)90154-2
CHN82_24_4PC,-33,42,DataLink,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean//sediment_files/complete/chn82-24-tab.txt
CV15025_GC_07_01,-9.95933,52.97433,PublicationDOI,10.1016/j.quascirev.2019.106004
CV15025_GC_07_01,-9.95933,52.97433,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.907706
D13882,-9.4542,38.6345,PublicationDOI,10.1016/j.quascirev.2010.04.004
D13882,-9.4542,38.6345,PublicationDOI,no DOI
D13882,-9.4542,38.6345,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.761811
D13882,-9.4542,38.6345,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.718856
D13902,-9.3355,38.554,PublicationDOI,10.1029/2008GC002367
D13902,-9.3355,38.554,PublicationDOI,10.1016/j.marmicro.2015.03.001
D13902,-9.3355,38.554,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.762035
D13902,-9.3355,38.554,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.858732
ELT49_019_PC,90.1,-43.887,PublicationDOI,10.1029/91PA02477
ELT49_019_PC,90.1,-43.887,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.712442
EW9209_1JPC,-44.195,5.9067,PublicationDOI,10.1029/96PA02413
EW9209_1JPC,-44.195,5.9067,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.53145
EW9209_2JPC,-44.47,5.64,PublicationDOI,10.1029/GM112p0059
EW9209_2JPC,-44.47,5.64,DataLink,https://www1.ncdc.noaa.gov/pub/data/paleo/contributions_by_author/curry1996/
EW9209_3JPC,-44.26,5.31,PublicationDOI,10.1029/GM112p0059
EW9209_3JPC,-44.26,5.31,PublicationDOI,10.1007/978-3-642-80353-6_29
EW9209_3JPC,-44.26,5.31,DataLink,https://www1.ncdc.noaa.gov/pub/data/paleo/contributions_by_author/curry1996/
EW9302_JPC8,-25,61,PublicationDOI,10.1029/96pa03133
EW9302_JPC8,-25,61,PublicationDOI,10.1029/1998PA900004
EW9302_JPC8,-25,61,DataLink,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean//sediment_files/complete/jpc8-tab.txt
EW9302_JPC8,-25,61,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.857335
EW9504_02PC,-117.58333,31.25,PublicationDOI,10.1029/1999PA000375
EW9504_02PC,-117.58333,31.25,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.855357
EW9504_03PC,-117.58,32.05,PublicationDOI,10.1029/1999PA000375
EW9504_03PC,-117.58,32.05,DataLink,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean//sediment_files/complete/ew950403-tab.txt
EW9504_04PC,-118.4,32.04,PublicationDOI,10.1029/1999PA000375
EW9504_04PC,-118.4,32.04,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.855359
EW9504_05PC,-118.13333,32.48333,PublicationDOI,10.1029/1999PA000375
EW9504_05PC,-118.13333,32.48333,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.855360
EW9504_08PC,-118.8,32.8,PublicationDOI,10.1029/1999PA000375
EW9504_08PC,-118.8,32.8,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.855361
EW9504_09PC,-119.95,32.95,PublicationDOI,10.1029/1999PA000375
EW9504_09PC,-119.95,32.95,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.855362
EW9504_17PC,-125.8303,42.2425,PublicationDOI,10.2973/odp.proc.sr.167.214.2000
EW9504_17PC,-125.8303,42.2425,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.794481
FR01_97_12,154.02778,-23.66944,PublicationDOI,10.1029/2004PA001047
FR01_97_12,154.02778,-23.66944,PublicationDOI,10.1016/j.margeo.2008.11.003
FR01_97_12,154.02778,-23.66944,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.832096
FR01_97_12,154.02778,-23.66944,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.832103
FR1_94_GC3,150,-44.26,PublicationDOI,10.1080/08120099.2018.1495101
FR1_94_GC3,150,-44.26,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.893206
FR1_94_GC3,150,-44.26,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.893210
GeoB10029_4,100.128025,-1.494485,PublicationDOI,10.1016/j.epsl.2010.01.024
GeoB10029_4,100.128025,-1.494485,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.736647
GeoB10038_4,103.246,-5.9375,PublicationDOI,10.1016/j.epsl.2010.01.024
GeoB10038_4,103.246,-5.9375,PublicationDOI,10.1016/j.quascirev.2009.12.006
GeoB10038_4,103.246,-5.9375,DataLink,"https://doi.org/10.1594/PANGAEA.770343, https://doi.org/10.1594/PANGAEA.736648"
GeoB10038_4,103.246,-5.9375,DataLink,https://doi.org/10.1594/PANGAEA.770343
GeoB10042_1,104.6425,-7.1135,PublicationDOI,10.1002/2015PA002802
GeoB10042_1,104.6425,-7.1135,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.858590
GeoB10043_3,105.05867,-7.30917,PublicationDOI,10.1002/2015PA002802
GeoB10043_3,105.05867,-7.30917,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.858594
GeoB10065_7,118.8935,-9.22367,PublicationDOI,10.1002/2014GL061450
GeoB10065_7,118.8935,-9.22367,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.837596
GeoB10065_7,118.8935,-9.22367,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.837597
GeoB10069_3,120.917,-9.59483,PublicationDOI,10.1016/j.epsl.2013.11.032
GeoB10069_3,120.917,-9.59483,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.839404
GeoB1016_3,11.6819,-11.7705,PublicationDOI,10.1002/2013GL058999
GeoB1016_3,11.6819,-11.7705,PublicationDOI,10.1007/978-3-642-80353-6_27
GeoB1016_3,11.6819,-11.7705,PublicationDOI,10.1007/978-3-642-78737-9_15
GeoB1016_3,11.6819,-11.7705,PublicationDOI,10.1029/94PA03308
GeoB1016_3,11.6819,-11.7705,PublicationDOI,10.1029/96PA03640
GeoB1016_3,11.6819,-11.7705,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.829828
GeoB1016_3,11.6819,-11.7705,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.536392
GeoB1016_3,11.6819,-11.7705,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.54599
GeoB1016_3,11.6819,-11.7705,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.726538
GeoB1016_3,11.6819,-11.7705,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.263934
GeoB1016_3,11.6819,-11.7705,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.536391
GeoB1023_5,11.0113636363636,-17.1573181818182,PublicationDOI,10.1016/S0012-821X(01)00545-3
GeoB1023_5,11.0113636363636,-17.1573181818182,PublicationDOI,10.1144/GSL.SP.1992.064.01.19
GeoB1023_5,11.0113636363636,-17.1573181818182,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.88346
GeoB1023_5,11.0113636363636,-17.1573181818182,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.54805
GeoB1023_5,11.0113636363636,-17.1573181818182,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.81212
GeoB1023_5,11.0113636363636,-17.1573181818182,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.54855
GeoB1032_3,6.036667,-22.915,PublicationDOI,10.1007/978-3-642-80353-6_30
GeoB1032_3,6.036667,-22.915,PublicationDOI,10.1007/978-3-642-18917-3_26
GeoB1032_3,6.036667,-22.915,PublicationDOI,10.1007/978-3-642-80353-6_25
GeoB1032_3,6.036667,-22.915,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.103614
GeoB1032_3,6.036667,-22.915,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.226971
GeoB1032_3,6.036667,-22.915,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.54655
GeoB1034_3,5.421667,-21.735,PublicationDOI,10.1007/978-3-642-80353-6_30
GeoB1034_3,5.421667,-21.735,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.103616
GeoB1035_4,5.028333,-21.586667,PublicationDOI,10.1007/978-3-642-80353-6_30
GeoB1035_4,5.028333,-21.586667,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.103618
GeoB1041_3,-7.6,-3.475,PublicationDOI,10.1007/978-3-642-80353-6_30
GeoB1041_3,-7.6,-3.475,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.103620
GeoB1041_3,-7.6,-3.475,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.54761
GeoB1101_5,-10.98,1.65833,PublicationDOI,10.1007/978-3-642-80353-6_30
GeoB1101_5,-10.98,1.65833,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.103622
GeoB1101_5,-10.98,1.65833,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.103621
GeoB1105_3,-12.42833,-1.665,PublicationDOI,10.1007/978-3-642-80353-6_30
GeoB1105_3,-12.42833,-1.665,PublicationDOI,10.1007/978-3-642-58646-0_1
GeoB1105_3,-12.42833,-1.665,PublicationDOI,10.1029/1999PA000370
GeoB1105_3,-12.42833,-1.665,PublicationDOI,10.1007/978-3-642-80353-6_25
GeoB1105_3,-12.42833,-1.665,PublicationDOI,10.1007/978-3-642-80353-6_27
GeoB1105_3,-12.42833,-1.665,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.58768
GeoB1105_3,-12.42833,-1.665,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.57173
GeoB1105_3,-12.42833,-1.665,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.710804
GeoB1105_3,-12.42833,-1.665,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.54656
GeoB1105_3,-12.42833,-1.665,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.54864
GeoB1112_4,-10.75,-5.77833,PublicationDOI,10.1007/978-3-642-80353-6_30
